السنة,النوع,متوسط ​​العمر المتوقع
2011,أنثى,81.02
2012,أنثى,81.00
2013,أنثى,81.11
2014,أنثى,81.07
2015,أنثى,81.34
2016,أنثى,81.32
2017,أنثى,81.53
2018,أنثى,81.96
2019,أنثى,81.88
2020,أنثى,82.01
2021,أنثى,79.16
2022,أنثى,80.89
2011,الإجمالي,77.53
2012,الإجمالي,77.53
2013,الإجمالي,77.67
2014,الإجمالي,77.60
2015,الإجمالي,77.89
2016,الإجمالي,77.65
2017,الإجمالي,78.25
2018,الإجمالي,78.76
2019,الإجمالي,78.79
2020,الإجمالي,78.86
2021,الإجمالي,76.01
2022,الإجمالي,77.90
2011,ذكر,74.73
2012,ذكر,74.73
2013,ذكر,74.82
2014,ذكر,74.71
2015,ذكر,74.99
2016,ذكر,74.59
2017,ذكر,75.41
2018,ذكر,75.98
2019,ذكر,76.03
2020,ذكر,76.09
2021,ذكر,73.30
2022,ذكر,75.30
